codigo,rede,registros,pct_base
1,Federal,74649,1.5517052148802728
2,Estadual,1382565,28.73894252315429
3,Municipal,9015,0.18739196120705784
4,Privada,272799,5.670586758216769
,Sem informação,3071744,63.851373542541616
