dia,status,quantidade,percentual_base
1,presente,3457555,71.87110509498268
1,ausente,1348087,28.022259213282194
1,eliminado,5130,0.10663569173513107
1,misto,0,0.0
1,dados_ausentes,0,0.0
1,codigo_invalido,0,0.0
2,presente,3260336,67.77157595496108
2,ausente,1548487,32.187910796853394
2,eliminado,1949,0.04051324818553031
2,misto,0,0.0
2,dados_ausentes,0,0.0
2,codigo_invalido,0,0.0
